"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Magenta","B00CP46HV0","8510698","Finocam","22903082","22903000","52","12","106.27","38.64","11","4","9.66","0","21.2","33.3"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Schwarz","B00CP43UVA","8510660","Finocam","22903082","22903000","199","171","96.60","110.10","10","10","9.66","0","5","5.8"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Blau","B00CP48ZRY","8510610","Finocam","22903082","22903000","48","13","76.09","38.64","8","4","9.51","0","16.7","30.8"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Schwarz","B07P6G6T1T","8511660","Finocam","22903082","22903000","85","24","71.02","28.98","7","3","10.15","0","8.2","12.5"
"Finocam - A5 Dokumentenmappe NOPAL - Schwarz: Dokumentenmappe mit Reißverschluss, Innentasche für Tablet, Notizblockmappe aus Biomaterial auf Kaktusbasis","B0DV5SNSCV","5098301","Finocam","22903151","22903000","86","0","63.19","0.00","2","0","31.59","0","2.3","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Camel | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5SDYWJ","8058106","Finocam","Notizblöcke","22903000","16","1","60.11","9.03","6","1","10.02","0","37.5","100"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV642H4Y","8058101","Finocam","Notizblöcke","22903000","65","40","50.05","27.30","5","3","10.01","0","7.7","7.5"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Marineblau | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5RV4DS","8058102","Finocam","Notizblöcke","22903000","26","7","43.92","8.91","4","1","10.98","0","15.4","14.3"
"Finocam - A4 Dokumentenmappe NOPAL - Olivgrün | Dokumentenmappe mit Reißverschluss - Innentasche für Tablet | Notizblockmappe | Dokumentenmappe aus BIOMATERIAL - AUF KAKTUSBASIS","B0DV5S3FFC","5098202","Finocam","22903151","22903000","15","0","41.08","0.00","1","0","41.08","0","6.7","0"
"Finocam Mara Planer 18 Monate 2026 2027 | 1 Tag pro Seite · Juli 2026 bis Dezember 2027 | Pretty · International - Tagesplaner","B0GJSSNL18","636310927","Finocam","Terminkalender","22903000","35","0","40.34","0.00","2","0","20.17","0","5.7","0"
