"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Schwarz","B07P6G6T1T","B07P6G6T1T","Finocam","22903082","22903000","172","61","100","0","257.67","19.28","31","2","8.31","0","18","3.3"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B07P6G7LZ7","B07P6G7LZ7","Finocam","22903082","22903000","187","28","100","0","135.00","48.30","16","5","8.44","0","8.6","17.9"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Schwarz","B00CP43UVA","B00CP43UVA","Finocam","22903082","22903000","279","174","100","0","131.36","106.26","16","11","8.21","0","5.7","6.3"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Blau","B00CP48ZRY","B00CP48ZRY","Finocam","22903082","22903000","70","13","100","0","131.36","27.02","16","3","8.21","0","22.9","23.1"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Daisy","B0GJT5BXLY","B0GJT5BXLY","Finocam","Terminkalender","22903000","86","0","100","0","128.60","0.00","9","0","14.29","0","10.5","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV642H4Y","B0DV642H4Y","Finocam","Notizblöcke","22903000","136","103","100","0","102.41","40.32","11","4","9.31","0","8.1","3.9"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B01D025HWK","B01D025HWK","Finocam","22903082","22903000","83","60","100","0","93.53","28.98","11","3","8.50","0","13.3","5"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Magenta","B00CP46HV0","B00CP46HV0","Finocam","22903082","22903000","84","29","100","0","90.31","35.49","11","4","8.21","0","13.1","13.8"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5RRRB2","B0DV5RRRB2","Finocam","Notizblöcke","22903000","149","102","100","0","90.02","0.00","14","0","6.43","0","9.4","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Marineblau | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5RV4DS","B0DV5RV4DS","Finocam","Notizblöcke","22903000","25","6","100","0","77.13","19.47","9","2","8.57","0","36","33.3"
