"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Ikon Agenda 16 mois 2026 2027 | 1 Jour par Page · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Journalier","B0GJT437XZ","B0GJT437XZ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","37","0","256.69","0.00","7","0","36.67","0","18.9","0"
"Finocam Mara Agenda 18 mois 2026 2027 | Vue hebdomadaire verticale · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Semainier","B0GJSVYR6D","B0GJSVYR6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","453","0","247.86","0.00","17","0","14.58","0","3.8","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | Vue hebdomadaire horizontale · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Semainier","B0GJT24P8W","B0GJT24P8W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","872","0","186.72","0.00","16","0","11.67","0","1.8","0"
"Finocam Jazz Livre d’or | Crème","B0GJT12GDT","B0GJT12GDT","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","61","0","165.00","0.00","6","0","27.50","0","9.8","0"
"Finocam Mara Agenda 18 mois 2026 2027 | Vue hebdomadaire verticale · Juillet 2026 - Décembre 2027 | Girl · International - Agenda Semainier","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","592","0","160.38","0.00","11","0","14.58","0","1.9","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | Vue hebdomadaire verticale · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Semainier","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","156","0","108.72","0.00","9","0","12.08","0","5.8","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | Vue hebdomadaire horizontale · Juillet 2026 - Décembre 2027 | Pretty · International - Agenda Semainier","B0GJSX425K","B0GJSX425K","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","207","0","105.03","0.00","9","0","11.67","0","4.3","0"
"Finocam Dotted Agenda 16 mois 2026 2027 | Vue hebdomadaire horizontale · Septembre 2026 - Décembre 2027 | Gala · International - Agenda Semainier","B0GJSTYCBJ","B0GJSTYCBJ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","349","0","103.36","0.00","8","0","12.92","0","2.3","0"
"Finocam Calendrier magnétique Bloc 16 mois 2026 2027 | 1 Mois par Page · Septembre 2026 - Décembre 2027 | Neutre · Langue: Français - Calendrier Frigo","B0GMX2C7YD","B0GMX2C7YD","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","324","0","100.05","0.00","15","0","6.67","0","4.6","0"
"Finocam Capri Agenda 16 mois 2026 2027 | Vue hebdomadaire horizontale · Septembre 2026 - Décembre 2027 | Happy · International - Agenda Semainier","B0GJT1MPDL","B0GJT1MPDL","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","420","0","100.00","0.00","8","0","12.50","0","1.9","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Journalier","B0GJT23N8Z","B0GJT23N8Z","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","186","0","83.35","0.00","5","0","16.67","0","2.7","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | 1 Jour par Page · Septembre 2026 - Décembre 2027 | Bordeaux · International - Agenda Journalier","B0GJSRYFXP","B0GJSRYFXP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","35","0","73.33","0.00","4","0","18.33","0","11.4","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | Vue hebdomadaire verticale · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Semainier","B0GJT2R199","B0GJT2R199","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","47","0","67.50","0.00","3","0","22.50","0","6.4","0"
"Finocam Mara Agenda 18 mois 2026 2027 | 1 Jour par Page · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Journalier","B0GJT2N36W","B0GJT2N36W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","294","0","60.00","0.00","3","0","20.00","0","1","0"
