"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Ikon Agenda Semainier 16 mois 2026 2027 | Noir","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1006","0","100","0","390.23","0.00","38","0","10.27","0","3.8","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJT24P8W","B0GJT24P8W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1348","0","100","0","347.20","0.00","35","0","9.92","0","2.6","0"
"Finocam Ikon Agenda Journalier 16 mois 2026 2027 | Noir","B0GJSS4V36","B0GJSS4V36","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","375","0","100","0","342.78","0.00","22","0","15.58","0","5.9","0"
"Finocam Ikon Agenda 16 meses 2026 2027 Semanal· Negro · Internacional","B0GJT2R199","B0GJT2R199","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","192","0","100","0","305.94","0.00","16","0","19.12","0","8.3","0"
"Finocam Mara Agenda Semainier 18 mois 2026 2027| Girl","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1126","0","100","0","248.00","0.00","20","0","12.40","0","1.8","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Noir","B0GJSWFNVF","B0GJSWFNVF","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","489","0","100","0","228.13","0.00","23","0","9.92","0","4.7","0"
"Finocam Calendrier Magnétique Frigo 16 mois 2026 2027 · Langue: Français","B0GMX2C7YD","B0GMX2C7YD","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","703","0","100","0","192.78","0.00","34","0","5.67","0","4.8","0"
"Finocam Capri Agenda Semainier 16 mois 2026 2027 | Happy","B0GJT1MPDL","B0GJT1MPDL","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","730","0","100","0","191.17","0.00","18","0","10.62","0","2.5","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJSX425K","B0GJSX425K","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","384","0","100","0","188.47","0.00","19","0","9.92","0","4.9","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H3942Q8C","B0H3942Q8C","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","128","0","100","0","183.44","0.00","24","0","7.64","0","18.8","0"
"Finocam Ikon Agenda Semainier 16 mois 2026 2027 | Bordeaux","B0GJT88P6D","B0GJT88P6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","214","0","100","0","174.58","0.00","17","0","10.27","0","7.9","0"
