"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Happy","B0GJT1MPDL","B0GJT1MPDL","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","6502","0","100","0","1031.53","0.00","98","0","10.53","0","1.5","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJT5X8Y8","B0GJT5X8Y8","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1764","0","100","0","453.53","0.00","37","0","12.26","0","2.1","0"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Power","B0GJSTVNYG","B0GJSTVNYG","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1680","0","100","0","327.65","0.00","31","0","10.57","0","1.8","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Gala","B0GJSTYCBJ","B0GJSTYCBJ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1906","0","100","0","308.12","0.00","28","0","11.00","0","1.5","0"
"APS Vaso portaoggetti classico, contenitore in vetro di alta qualità da 0,9 l, mantiene i tuoi prodotti freschi attraverso il coperchio in vetro con contenitore di tenuta","B07W738MXS","B07W738MXS","APS","Altro","32809400","333","561","100","0","300.48","246.16","26","24","11.56","0","7.8","4.3"
"APS misurino Circa Diametro 12 cm, Altezza 17 cm Circa 1L, Polipropilene (PP) Maniglia Chiusa, Goffrato Mass skalierung","B004LO9F1G","B004LO9F1G","APS","32809430","32809400","206","91","100","0","266.47","61.99","29","8","9.19","0","14.1","8.8"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJTBHR9G","B0GJTBHR9G","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","987","0","100","0","233.94","0.00","19","0","12.31","0","1.9","0"
"APS Vaso portaoggetti Classico, Contenitore in Vetro di Alta qualità da 6,0 Litri, Mantiene i Tuoi Prodotti freschi Attraverso Il Coperchio in Vetro con Contenitore di Tenuta","B07W62N25F","B07W62N25F","APS","Altro","32809400","44","0","97.5","0","220.22","0.00","7","0","31.46","0","15.9","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Bloom","B0GJT2872V","B0GJT2872V","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1073","0","100","0","155.00","0.00","14","0","11.07","0","1.3","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Nero","B07P6G6T1T","B07P6G6T1T","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","226","63","100","0","149.84","28.29","18","3","8.32","0","8","4.8"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Giungla","B0GJT13HPB","B0GJT13HPB","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1111","0","100","0","148.14","0.00","14","0","10.58","0","1.3","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Azzurro","B0GJSYLDLW","B0GJSYLDLW","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","374","0","100","0","136.33","0.00","11","0","12.39","0","2.9","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Magenta","B01D025HWK","B01D025HWK","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","164","62","100","0","120.15","75.44","15","8","8.01","0","9.1","12.9"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT7CD83","B0GJT7CD83","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","793","0","100","0","118.41","0.00","10","0","11.84","0","1.3","0"
"Finocam Mara Agenda Giornaliera 18 Mesi 2026 2027 | Daisy","B0GJT2N36W","B0GJT2N36W","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","491","0","99.6","0","118.02","0.00","6","0","19.67","0","1.2","0"
"finocam - Agenda senza data Mytime Settimana Layout Verticale Internazionale","B0BS49SS5T","B0BS49SS5T","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","999","239","100","0","112.74","16.40","16","2","7.05","0","1.6","0.8"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 45 x 35,5 cm, altezza 2 cm, grigio, 543, 45 x 35,5 cm, altezza: 2 cm","B005NYLIWW","B005NYLIWW","APS","32809430","32809400","72","48","96.8","0","102.17","33.68","9","2","11.35","0","12.5","4.2"
"Finocam Mara Agenda Giornaliera 18 Mesi 2026 2027 | Nero","B0GJT3MCGM","B0GJT3MCGM","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","397","0","100","0","100.32","0.00","6","0","16.72","0","1.5","0"
"Finocam Espiral Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJST9G3G","B0GJST9G3G","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","744","0","100","0","99.23","0.00","10","0","9.92","0","1.3","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJT4J9FN","B0GJT4J9FN","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","446","0","100","0","98.90","0.00","8","0","12.36","0","1.8","0"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Nero","B0GJSWKQDQ","B0GJSWKQDQ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","547","0","100","0","94.05","0.00","9","0","10.45","0","1.6","0"
"Finocam Ikon Agenda 16 Mesi 2026 2027 | Nero","B0GJT437XZ","B0GJT437XZ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","26","0","95.6","0","91.98","0.00","3","0","30.66","0","11.5","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Nero","B0GJSV82XJ","B0GJSV82XJ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","342","0","100","0","86.41","0.00","8","0","10.80","0","2.3","0"
"Finocam - Rubrica telefonica a doppia spirale con chiusura a elastico | 48 fogli | Agenda A5 con rubrica telefonica rilegata a doppia spirale - colore Magenta","B00CP46HV0","B00CP46HV0","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","89","44","100","0","80.09","18.86","10","2","8.01","0","11.2","4.5"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Magenta","B07P6G7LZ7","B07P6G7LZ7","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","176","73","100","0","74.93","28.29","9","3","8.33","0","5.1","4.1"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 45 x 35,5 cm, altezza 2 cm, nero","B004LOD8FU","B004LOD8FU","APS","32809430","32809400","86","22","87.3","0","74.45","0.00","5","0","14.89","0","5.8","0"
"Finocam Jazz Libro delle Firme | Crema","B0GJT12GDT","B0GJT12GDT","finocam","Organizer personali","Organizzazione dell'ufficio","63","0","100","0","68.97","0.00","3","0","22.99","0","4.8","0"
