"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Moda Planner 2027 | Weekly Diary | Blue","B0GYNRZ13W","B0GYNRZ13W","Finocam","Kalendarze biurkowe","22903000","265","0","100","0","221.00","0.00","34","0","6.50","0","12.8","0"
"Finocam Moda Planner 2027 | Weekly Diary | Black","B0GYP2VBZL","B0GYP2VBZL","Finocam","Kalendarze biurkowe","22903000","373","0","100","0","175.54","0.00","27","0","6.50","0","7.2","0"
"Finocam Moda Planner 2027 | Daily Diary | Squares","B0GYP39DY1","B0GYP39DY1","Finocam","Kalendarze biurkowe","22903000","199","0","100","0","162.21","0.00","19","0","8.54","0","9.5","0"
"Finocam Espiral Weekly Diary 18–Month | Weekly Diary | Black","B0GJSWFNVF","B0GJSWFNVF","Finocam","Kalendarze biurkowe","22903000","11","0","100","0","83.20","0.00","2","0","41.60","0","18.2","0"
"Finocam Moda Planner 2027 | Daily Diary | Wildflowers","B0GYP5J9FQ","B0GYP5J9FQ","Finocam","Kalendarze biurkowe","22903000","71","0","100","0","76.85","0.00","9","0","8.54","0","12.7","0"
"Finocam Moda Planner 2027 | Daily Diary | Blue","B0GYNNC6LH","B0GYNNC6LH","Finocam","Kalendarze biurkowe","22903000","72","0","100","0","76.84","0.00","9","0","8.54","0","12.5","0"
"Finocam Mara Daily Diary 18–Month | Daily Diary | Black","B0GJT3MCGM","B0GJT3MCGM","Finocam","Kalendarze biurkowe","22903000","18","0","100","0","71.32","0.00","1","0","71.32","0","5.6","0"
"Finocam Espiral Diary 18–Month | 2 Days per Page | Daisy","B0GJT23N8Z","B0GJT23N8Z","Finocam","Kalendarze biurkowe","22903000","7","0","100","0","59.43","0.00","1","0","59.43","0","14.3","0"
"Finocam Espiral Diary 18–Month | 2 Days per Page | Pretty","B0GJT3X9FM","B0GJT3X9FM","Finocam","Kalendarze biurkowe","22903000","20","0","100","0","59.43","0.00","1","0","59.43","0","5","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Black","B0GJT64GM9","B0GJT64GM9","Finocam","Kalendarze biurkowe","22903000","6","0","100","0","59.43","0.00","1","0","59.43","0","16.7","0"
"Finocam Moda Planner 2027 | Weekly Diary | Wildflowers","B0GYNV726D","B0GYNV726D","Finocam","Kalendarze biurkowe","22903000","49","0","100","0","58.51","0.00","9","0","6.50","0","18.4","0"
"Finocam Moda Planner 2027 | Weekly Diary | Squares","B0GYPBNBMT","B0GYPBNBMT","Finocam","Kalendarze biurkowe","22903000","158","0","100","0","52.04","0.00","8","0","6.50","0","5.1","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Black","B0GJT23KQK","B0GJT23KQK","Finocam","Kalendarze biurkowe","22903000","14","0","100","0","50.51","0.00","1","0","50.51","0","7.1","0"
"Finocam Dotted Weekly Diary 16–Month | Black","B0GJSV82XJ","B0GJSV82XJ","Finocam","Kalendarze biurkowe","22903000","14","0","100","0","46.06","0.00","1","0","46.06","0","7.1","0"
"Finocam Capri Weekly Diary 16–Month | Black","B0GJSWKQDQ","B0GJSWKQDQ","Finocam","Kalendarze biurkowe","22903000","26","0","100","0","44.58","0.00","1","0","44.58","0","3.8","0"
"Finocam Capri Weekly Diary 16–Month | Happy","B0GJT1MPDL","B0GJT1MPDL","Finocam","Kalendarze biurkowe","22903000","20","0","100","0","44.58","0.00","1","0","44.58","0","5","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Black · International - Planner","B0GJT13SGR","B0GJT13SGR","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","5","0","100","0","38.01","0.00","1","0","38.01","0","20","0"
"Finocam Moda Planner 2027 | Daily Diary | Black","B0GYNZPR6P","B0GYNZPR6P","Finocam","Kalendarze biurkowe","22903000","64","0","100","0","34.13","0.00","4","0","8.53","0","6.3","0"
"Finocam Moda Planner 2027 | Weekly Diary | Rose","B0GYP3TJ5Y","B0GYP3TJ5Y","Finocam","Kalendarze biurkowe","22903000","54","0","100","0","32.51","0.00","5","0","6.50","0","9.3","0"
"Finocam Dynamic Porto Planner 2027 | Weekly Diary | Blue","B0GYNWBR7B","B0GYNWBR7B","Finocam","Kalendarze biurkowe","22903000","13","0","100","0","20.01","0.00","3","0","6.67","0","23.1","0"
"Finocam Monthly Planner 2027","B0GYP7BL44","B0GYP7BL44","Finocam","Kalendarze biurkowe","22903000","69","0","100","0","17.57","0.00","3","0","5.86","0","4.3","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Green · International - Planner","B0GJSPQWGQ","B0GJSPQWGQ","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","3","0","100","0","17.27","0.00","1","0","17.27","0","33.3","0"
"Finocam Dynamic Porto Planner 2027 | Weekly Diary | Red","B0GYNY2LSJ","B0GYNY2LSJ","Finocam","Kalendarze biurkowe","22903000","13","0","100","0","13.33","0.00","2","0","6.67","0","15.4","0"
"Finocam Alma Spiral Planner 2027 | Weekly Diary | Black","B0GYP49B7N","B0GYP49B7N","Finocam","Kalendarze biurkowe","22903000","30","0","100","0","10.89","0.00","1","0","10.89","0","3.3","0"
"Finocam You Spiral Planner 2027 | Weekly Diary | Wheat","B0GYP5LG2P","B0GYP5LG2P","Finocam","Kalendarze biurkowe","22903000","13","0","100","0","10.89","0.00","1","0","10.89","0","7.7","0"
