"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"FINOCAM – Nexo Notebook Soft Cover Dotted Camel | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV6CX3K6","8058006","Finocam","Anteckningsböcker och kompositionböcker","22903000","0","2","78.84","0.00","1","0","78.84","0","0","0"
"Finocam - Planner Month to View 2026 Month to View January 2026 – December 2026 (12 months) Grey International","B0F9LBV1D3","625535026","Finocam","Office-kalendrar","Office Organization","4","0","69.42","0.00","1","0","69.42","0","25","0"
"Finocam Set of Stickers Talkual - Personal Organisation","B07TCPX2PP","7865000","Finocam","Anteckningsböcker och kompositionböcker","22903000","3","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Set of sticky notes Talkual - Personal Organisation","B08D3QC7MF","7865100","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Navy Blue | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5RV4DS","8058102","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Zipper Document Holder Nopal Olive Green","B0DV5S2Z1M","5098302","Finocam","filmappar, bärbara & lagringsfiler","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Pink | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5S7BYZ","8054205","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SQ34P","8058201","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Yellow | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5SRF1P","8057108","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Pink | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5T33V8","8058105","Finocam","Anteckningsböcker och kompositionböcker","22903000","3","1","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Dark Green | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5ZK39L","8057010","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642H4Y","8058101","Finocam","Anteckningsböcker och kompositionböcker","22903000","7","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Pink | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642N1Q","8058005","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiralplanerare 2026 1 dag att visa | januari - december (12 månader) | Årlig planerare 2026 med elastiskt band | Double Spiral Inbunden Spiral Alma - Svart - Internationell","B0F9LCF6PR","762110126","Finocam","Office-kalendrar","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Wall Calendar 2026 18x18 cm Month to View January - December 2026 + Sep.- Dec. 2025 (4 months) reduced | Calendar 2026 | Images Amsterdam - International","B0F9LF6G3W","781235826","Finocam","Office-kalendrar","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Green · International - Planner","B0GJSPQWGQ","1480102","Finocam","Akademiska planerare och utnämningsböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Daily Planner 18-Month | 1 Day per Page · July 2026 to December 2027 | Pretty · International - Day-to-page diary","B0GJSSNL18","636310927","Finocam","Planerare och personliga arrangörer","Office Organization","5","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJST9G3G","636240527","Finocam","Planerare och personliga arrangörer","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSTMQJV","1480101","Finocam","Akademiska planerare och utnämningsböcker","22903000","4","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSWVPBM","1480201","Finocam","Akademiska planerare och utnämningsböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Blue · International - Planner","B0GJSXHGWN","1480303","Finocam","Akademiska planerare och utnämningsböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Capri Weekly Planner 16-Month | Weekly View Horizontal Layout · September 2026 to December 2027 | Jungle · International - Week-to-view diary","B0GJT13HPB","627320127","Finocam","Planerare och personliga arrangörer","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Black · International - Planner","B0GJT13SGR","1480301","Finocam","Akademiska planerare och utnämningsböcker","22903000","3","0","0.00","0.00","0","0","0.00","0","0","0"
