"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam International Desktop Calendar 2027 | Cats Images","B0GYNS9D5R","B0GYNS9D5R","Finocam","Planners & Personal Organizers","Office Organization","14","0","100","0","21.24","0.00","3","0","7.08","0","21.4","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Dark Green | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5ZK39L","B0DV5ZK39L","Finocam","Notebooks & Composition Books","Office Supplies","6","4","100","100","12.18","0.00","2","0","6.09","0","33.3","0"
"Finocam – Nexo Notebook Hard Cover Plain Camel | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RB9X7","B0DV5RB9X7","Finocam","Notebooks & Composition Books","Office Supplies","3","0","100","0","8.92","0.00","1","0","8.92","0","33.3","0"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | A5 Double Spiral Bound Alphabetical Contacts Organiser - Colour Black","B07P6G6T1T","B07P6G6T1T","Finocam","Notebooks & Composition Books","Office Supplies","0","3","0","100","8.47","0.00","1","0","8.47","0","0","0"
"Finocam – Nexo Notebook Hard Cover Plain Pink | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5S5D1S","B0DV5S5D1S","Finocam","Notebooks & Composition Books","Office Supplies","5","7","100","100","6.80","0.00","1","0","6.80","0","20","0"
"Finocam – Minimal 18-Month Planner 2025-2026 Horizontal Week View July 2025 – December 2026 (18 Months) Pretty International","B0DV5RVY3Y","B0DV5RVY3Y","Finocam","Academic Planners & Appointment Books","Office Supplies","14","16","100","100","1.50","10.24","1","1","1.50","0","7.1","6.3"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Black","B00CP43UVA","B00CP43UVA","Finocam","Notebooks & Composition Books","Office Supplies","0","31","0","100","0.00","44.81","0","5","0.00","0","0","16.1"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Magenta","B00CP46HV0","B00CP46HV0","Finocam","Notebooks & Composition Books","Office Supplies","0","8","0","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | A5 double spiral bound contacts organiser - colour Blue","B00CP48ZRY","B00CP48ZRY","Finocam","Notebooks & Composition Books","Office Supplies","0","15","0","100","0.00","31.42","0","4","0.00","0","0","26.7"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Black","B00JMEII1I","B00JMEII1I","Finocam","Notebooks & Composition Books","Office Supplies","0","2","0","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound alphabetical contacts organiser 10 x 15 cm - colour Magenta","B00L9ZQ978","B00L9ZQ978","Finocam","Notebooks & Composition Books","Office Supplies","0","2","0","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Blue","B00L9ZQ9ZK","B00L9ZQ9ZK","Finocam","Notebooks & Composition Books","Office Supplies","0","43","0","100","0.00","20.19","0","3","0.00","0","0","7"
"Finocam - A5 Document Holder Series 00 - Black | Polyester Document Holder | Zippered Portfolio - Tablet Pen Ring and Inner Pocket | Equipped with Notepad","B0159DGBXC","B0159DGBXC","Finocam","Notebooks & Composition Books","Office Supplies","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | A5 Double Spiral Bound Alphabetical Contacts Organiser - Colour Magenta","B01D025HWK","B01D025HWK","Finocam","Notebooks & Composition Books","Office Supplies","0","7","0","100","0.00","7.21","0","1","0.00","0","0","14.3"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | Small Alphabetical Contacts Organiser Bound with Double Spiral 10 x 15 cm - Colour Blue","B01D025JGY","B01D025JGY","Finocam","Notebooks & Composition Books","Office Supplies","0","45","0","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | Small Alphabetical Contacts Organiser Bound with Double Spiral 10 x 15 cm - Colour Black","B07P5HWPVZ","B07P5HWPVZ","Finocam","Notebooks & Composition Books","Office Supplies","0","18","0","100","0.00","25.72","0","4","0.00","0","0","22.2"
"Finocam - Double Spiral Address Book and Elastic Band Closure | 48 Sheets | Small Alphabetical Contacts Organiser Bound with Double Spiral 10 x 15 cm - Colour Magenta","B07P6G7LYZ","B07P6G7LYZ","Finocam","Notebooks & Composition Books","Office Supplies","0","39","0","100","0.00","0.00","0","0","0.00","0","0","0"
