"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam – Mara 18-Month Planner 2025-2026 Vertical Week View July 2025 – December 2026 (18 Months) Daisy International","B0DV5S6TBB","B0DV5S6TBB","Finocam","Academic Planners & Appointment Books","Office Supplies","7","11","16.15","0.00","2","0","8.07","0","28.6","0"
"Finocam – Mara 18-Month Planner 2025-2026 Vertical Week View July 2025 – December 2026 (18 Months) Girl International","B0DV5SF8F5","B0DV5SF8F5","Finocam","Academic Planners & Appointment Books","Office Supplies","4","35","14.79","22.98","1","2","14.79","0","25","5.7"
"FINOCAM – Nexo Notebook Soft Cover Plain Navy Blue | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5QVW3M","B0DV5QVW3M","Finocam","Notebooks & Composition Books","Office Supplies","1","5","11.42","0.00","1","0","11.42","0","100","0"
"Finocam – Nexo Notebook Hard Cover Plain Camel | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RGCNR","B0DV5RGCNR","Finocam","Notebooks & Composition Books","Office Supplies","6","1","9.07","0.00","1","0","9.07","0","16.7","0"
"Finocam – Nexo Notebook Hard Cover otted Navy Blue | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5XF55X","B0DV5XF55X","Finocam","Notebooks & Composition Books","Office Supplies","4","0","7.02","0.00","1","0","7.02","0","25","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Navy Blue | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SJ6GB","B0DV5SJ6GB","Finocam","Notebooks & Composition Books","Office Supplies","2","52","6.77","11.97","1","2","6.77","0","50","3.8"
"FINOCAM – Nexo Notebook Soft Cover Dotted Pink | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642N1Q","B0DV642N1Q","Finocam","Notebooks & Composition Books","Office Supplies","3","11","6.46","0.00","1","0","6.46","0","33.3","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Black","B00CP43UVA","B00CP43UVA","Finocam","Notebooks & Composition Books","Office Supplies","2","11","0.00","7.26","0","1","0.00","0","0","9.1"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Magenta","B00CP46HV0","B00CP46HV0","Finocam","Notebooks & Composition Books","Office Supplies","2","2","0.00","8.52","0","1","0.00","0","0","50"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | A5 double spiral bound contacts organiser - colour Blue","B00CP48ZRY","B00CP48ZRY","Finocam","Notebooks & Composition Books","Office Supplies","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Black","B00JMEII1I","B00JMEII1I","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound alphabetical contacts organiser 10 x 15 cm - colour Magenta","B00L9ZQ978","B00L9ZQ978","Finocam","Notebooks & Composition Books","Office Supplies","1","4","0.00","22.08","0","3","0.00","0","0","75"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Blue","B00L9ZQ9ZK","B00L9ZQ9ZK","Finocam","Notebooks & Composition Books","Office Supplies","11","28","0.00","7.37","0","1","0.00","0","0","3.6"
